observation_id,vin,target_id,observed_at,scan_id,price_cad,mileage_km,listing_url,listing_id,year,make,model,trim
obs_d8a4e92a5213,1FTFW3L85RFB45931,ford-f150-ontario,2026-06-16T17:08:00-04:00,clutch_ford_f150_ontario_20260616_170800,56890,32504,https://www.clutch.ca/vehicles/105561,105561,2024,Ford,F-150,XLT 302A Crew Cab Short Bed
obs_8e3cb98da71e,1FTEW3LP1RKF39209,ford-f150-ontario,2026-06-16T17:08:00-04:00,clutch_ford_f150_ontario_20260616_170800,,31326,https://www.clutch.ca/vehicles/105262,105262,2024,Ford,F-150,XLT 302A Crew Cab Short Bed
obs_ce71beaba665,1FTEW2LP7RKE96537,ford-f150-ontario,2026-06-16T17:08:00-04:00,clutch_ford_f150_ontario_20260616_170800,49790,48956,https://www.clutch.ca/vehicles/106923,106923,2024,Ford,F-150,STX 200A Crew Cab Short Bed
obs_f2b94de7d7ac,1FTFW1E86PFC74145,ford-f150-ontario,2026-06-16T17:08:00-04:00,clutch_ford_f150_ontario_20260616_170800,51590,53805,https://www.clutch.ca/vehicles/108202,108202,2023,Ford,F-150,XLT 302A Crew Cab Short Bed
obs_97faf11aa711,1FTEW1EPXPFC35464,ford-f150-ontario,2026-06-16T17:08:00-04:00,clutch_ford_f150_ontario_20260616_170800,51790,53406,https://www.clutch.ca/vehicles/105080,105080,2023,Ford,F-150,XLT 302A Crew Cab Short Bed
obs_db5a9c06ba66,1FTFW1E52PKE89874,ford-f150-ontario,2026-06-16T17:08:00-04:00,clutch_ford_f150_ontario_20260616_170800,53490,55585,https://www.clutch.ca/vehicles/106415,106415,2023,Ford,F-150,XLT 302A Crew Cab Standard Bed
obs_a997ed4d6a5a,1FTFW1ED6PFA97626,ford-f150-ontario,2026-06-16T17:08:00-04:00,clutch_ford_f150_ontario_20260616_170800,50490,41993,https://www.clutch.ca/vehicles/106118,106118,2023,Ford,F-150,XLT 302A Crew Cab Short Bed
obs_3607e5e25dca,1FTEW1EP0PKE73329,ford-f150-ontario,2026-06-16T17:08:00-04:00,clutch_ford_f150_ontario_20260616_170800,50590,39844,https://www.clutch.ca/vehicles/104836,104836,2023,Ford,F-150,XLT 302A Crew Cab Short Bed
obs_787cf7f2f71e,1FTEW1EPXPKD47088,ford-f150-ontario,2026-06-16T17:08:00-04:00,clutch_ford_f150_ontario_20260616_170800,53890,36488,https://www.clutch.ca/vehicles/102032,102032,2023,Ford,F-150,XLT 302A Crew Cab Short Bed
obs_56b768408156,1FTEW1EP7NFB17238,ford-f150-ontario,2026-06-16T17:08:00-04:00,clutch_ford_f150_ontario_20260616_170800,44390,60000,https://www.clutch.ca/vehicles/103912,103912,2022,Ford,F-150,XLT 302A Crew Cab Short Bed
obs_fe96217a9fcb,1FTFW1E85NKD79392,ford-f150-ontario,2026-06-16T17:08:00-04:00,clutch_ford_f150_ontario_20260616_170800,43190,84247,https://www.clutch.ca/vehicles/103836,103836,2022,Ford,F-150,XLT 302A Crew Cab Short Bed
obs_0d8ceb9d8b0c,1FTFW1E86NKE45819,ford-f150-ontario,2026-06-16T17:08:00-04:00,clutch_ford_f150_ontario_20260616_170800,47090,41017,https://www.clutch.ca/vehicles/106890,106890,2022,Ford,F-150,XLT 302A Crew Cab Standard Bed
obs_e94caacb53d3,1FTEW1EP6NFA33444,ford-f150-ontario,2026-06-16T17:08:00-04:00,clutch_ford_f150_ontario_20260616_170800,45590,64791,https://www.clutch.ca/vehicles/98122,98122,2022,Ford,F-150,LARIAT 502A Crew Cab Short Bed
obs_9649a9c646a1,1FTFW1E86NKD91289,ford-f150-ontario,2026-06-16T17:08:00-04:00,clutch_ford_f150_ontario_20260616_170800,46790,40842,https://www.clutch.ca/vehicles/101542,101542,2022,Ford,F-150,XLT 302A Crew Cab Standard Bed
obs_11e7fd72249b,1FTFW1ED7NFB35619,ford-f150-ontario,2026-06-16T17:08:00-04:00,clutch_ford_f150_ontario_20260616_170800,53890,54137,https://www.clutch.ca/vehicles/104904,104904,2022,Ford,F-150,LARIAT 502A Crew Cab Standard Bed
obs_34a22fe9628f,1FTFW1E85NFA75004,ford-f150-ontario,2026-06-16T17:08:00-04:00,clutch_ford_f150_ontario_20260616_170800,41390,71642,https://www.clutch.ca/vehicles/104121,104121,2022,Ford,F-150,XLT 301A Crew Cab Standard Bed
obs_d275f752992f,1FTFW1E82MKD27541,ford-f150-ontario,2026-06-16T17:08:00-04:00,clutch_ford_f150_ontario_20260616_170800,41390,81323,https://www.clutch.ca/vehicles/107800,107800,2021,Ford,F-150,XLT 302A Crew Cab Short Bed
obs_468926667510,1FTEW1EP2MFB72646,ford-f150-ontario,2026-06-16T17:08:00-04:00,clutch_ford_f150_ontario_20260616_170800,40690,108488,https://www.clutch.ca/vehicles/95745,95745,2021,Ford,F-150,LARIAT 502A Crew Cab Short Bed
